Filename,Label,seg_Start,seg_End,t_ms,CPP,strF0,Column1
second_sample.mat,second_sample.mat,1,3000,1,0,137.669,
second_sample.mat,second_sample.mat,1,3000,2,0,151.808,
second_sample.mat,second_sample.mat,1,3000,3,0,165.987,
second_sample.mat,second_sample.mat,1,3000,4,0,178.941,
second_sample.mat,second_sample.mat,1,3000,5,0,191.712,
second_sample.mat,second_sample.mat,1,3000,6,0,205.398,
second_sample.mat,second_sample.mat,1,3000,7,0,209.81,
second_sample.mat,second_sample.mat,1,3000,8,0,211.975,
second_sample.mat,second_sample.mat,1,3000,9,0,211.554,
second_sample.mat,second_sample.mat,1,3000,10,0,210.372,
second_sample.mat,second_sample.mat,1,3000,11,0,208.891,
second_sample.mat,second_sample.mat,1,3000,12,0,207.387,
second_sample.mat,second_sample.mat,1,3000,13,8.467,207.441,
second_sample.mat,second_sample.mat,1,3000,14,7.27,207.328,
second_sample.mat,second_sample.mat,1,3000,15,7.864,206.551,
second_sample.mat,second_sample.mat,1,3000,16,10.213,206.366,
second_sample.mat,second_sample.mat,1,3000,17,8.021,206.316,
second_sample.mat,second_sample.mat,1,3000,18,7.384,206.259,
second_sample.mat,second_sample.mat,1,3000,19,8.337,206.199,
second_sample.mat,second_sample.mat,1,3000,20,8.22,206.238,
second_sample.mat,second_sample.mat,1,3000,21,7.28,206.181,
second_sample.mat,second_sample.mat,1,3000,22,8.022,206.135,
second_sample.mat,second_sample.mat,1,3000,23,7.287,206.1,
second_sample.mat,second_sample.mat,1,3000,24,7.707,205.981,
second_sample.mat,second_sample.mat,1,3000,25,7.571,206.007,
second_sample.mat,second_sample.mat,1,3000,26,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,27,7.472,205.989,
second_sample.mat,second_sample.mat,1,3000,28,8.704,206.02,
second_sample.mat,second_sample.mat,1,3000,29,8.321,206.124,
second_sample.mat,second_sample.mat,1,3000,30,7.383,206.167,
second_sample.mat,second_sample.mat,1,3000,31,7.706,206.073,
second_sample.mat,second_sample.mat,1,3000,32,7.277,206.127,
second_sample.mat,second_sample.mat,1,3000,33,7.272,206.034,
second_sample.mat,second_sample.mat,1,3000,34,7.273,206.062,
second_sample.mat,second_sample.mat,1,3000,35,8.04,206.05,
second_sample.mat,second_sample.mat,1,3000,36,7.304,206.094,
